id1,id2,weight
root/Thing_0,"root/Thing_0/organism, being_0",1
root/Thing_0,root/Thing_0/natural object_1,1
root/Thing_0,"root/Thing_0/artifact, artefact_2",1
root/Thing_0,root/Thing_0/street sign_3,1
root/Thing_0,"root/Thing_0/traffic light, traffic signal, stoplight_4",1
root/Thing_0,root/Thing_0/menu_5,1
root/Thing_0,"root/Thing_0/foodstuff, food product_6",1
root/Thing_0,"root/Thing_0/nutriment, nourishment, nutrition, sustenance, aliment, alimentation, victuals_7",1
root/Thing_0,root/Thing_0/dip_8,1
root/Thing_0,"root/Thing_0/bun, roll_9",1
root/Thing_0,root/Thing_0/French loaf_10,1
root/Thing_0,root/Thing_0/pretzel_11,1
root/Thing_0,root/Thing_0/sandwich_12,1
root/Thing_0,"root/Thing_0/vegetable, veggie, veg_13",1
root/Thing_0,"root/Thing_0/feed, provender_14",1
root/Thing_0,root/Thing_0/sauce_15,1
root/Thing_0,root/Thing_0/carbonara_16,1
root/Thing_0,"root/Thing_0/beverage, drink, drinkable, potable_17",1
root/Thing_0,root/Thing_0/bubble_18,1
root/Thing_0,"root/Thing_0/geological formation, formation_19",1
root/Thing_0,"root/Thing_0/toilet tissue, toilet paper, bathroom tissue_20",1
"root/Thing_0/organism, being_0","root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0",1
"root/Thing_0/organism, being_0","root/Thing_0/organism, being_0/animal, animate being, beast, brute, creature, fauna_1",1
"root/Thing_0/organism, being_0","root/Thing_0/organism, being_0/plant, flora, plant life_2",1
"root/Thing_0/organism, being_0","root/Thing_0/organism, being_0/fungus_3",1
"root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0","root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0/contestant_0",1
"root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0","root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0/peer, equal, match, compeer_1",1
"root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0","root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0/explorer, adventurer_2",1
"root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0/contestant_0","root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0/contestant_0/athlete, jock_0",1
"root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0/contestant_0/athlete, jock_0","root/Thing_0/organism, being_0/person, individual, someone, somebody, mortal, soul_0/contestant_0/athlete, jock_0/ballplayer, baseball player_0",1
