id1,id2,weight
0,n07565083,1
0,n07831146,1
0,n09229709,1
0,n07695742,1
0,n06794110,1
0,n15075141,1
0,n07684084,1
0,n06874185,1
0,n07680932,1
0,n07829412,1
0,n07582609,1
0,n07800091,1
0,n07695965,1
0,n07566340,1
0,n07570720,1
0,n09287968,1
0,n07881800,1
0,n07707451,1
0,n00019128,1
0,n00021939,1
0,n00004475,1
n07680932,n07693725,1
n07829412,n07836838,1
n07582609,n07583066,1
n07800091,n07800740,1
n07800740,n07802026,1
n07695965,n07697537,1
n07695965,n07697100,1
n07697100,n07697313,1
n07566340,n07566863,1
n07566340,n07882497,1
n07566863,n07710616,1
n07710616,n07711569,1
n07882497,n07860988,1
n07570720,n07557434,1
n07570720,n07556970,1
n07557434,n07588947,1
n07557434,n07871810,1
n07557434,n07583197,1
n07557434,n07875152,1
n07557434,n07880968,1
n07557434,n07873807,1
n07588947,n07590611,1
n07583197,n07584110,1
n07556970,n07579575,1
n07556970,n07609840,1
n07579575,n07579787,1
n07609840,n07611358,1
n07609840,n07612996,1
n07611358,n07615774,1
n07611358,n07614500,1
n07612996,n07613480,1
n09287968,n09246464,1
n09287968,n09366017,1
n09287968,n09366317,1
n09287968,n09433442,1
n09287968,n09443453,1
n09366017,n09468604,1
n09366317,n09359803,1
n09366317,n09399592,1
n09366317,n09409512,1
n09359803,n09193705,1
n09359803,n09472597,1
n09409512,n09214060,1
n09409512,n09406793,1
n09214060,n09421951,1
n09406793,n09256479,1
n09433442,n09332890,1
n09433442,n09428293,1
n09443453,n09288635,1
n07881800,n07929519,1
n07881800,n07884567,1
n07929519,n07920052,1
n07884567,n07891726,1
n07884567,n07911371,1
n07891726,n07892512,1
n07911371,n07930554,1
n07930554,n07932039,1
n07930554,n07930864,1
n07707451,n07710007,1
n07707451,n07713395,1
n07707451,n07715561,1
n07707451,n07718472,1
n07707451,n07718747,1
n07707451,n07730033,1
n07707451,n07734744,1
n07710007,n07720442,1
n07720442,n07720615,1
n07720615,n07720875,1
n07713395,n07713895,1
n07713395,n07714990,1
n07713395,n07715103,1
n07713895,n07714571,1
n07715561,n07717070,1
n07715561,n07715721,1
n07717070,n07717410,1
n07717070,n07717556,1
n07715721,n07716358,1
n07715721,n07716906,1
n00019128,n09349797,1
n00019128,n13086908,1
n09349797,n09214581,1
n13086908,n13087625,1
n13087625,n11675842,1
n11675842,n13134947,1
n13134947,n07705931,1
n13134947,n12267677,1
n13134947,n12620546,1
n13134947,n13133613,1
n13134947,n13135832,1
n13134947,n13138842,1
n07705931,n07739125,1
n07705931,n07742704,1
n07705931,n07747055,1
n07705931,n07753113,1
n07705931,n07753275,1
n07705931,n07753592,1
n07705931,n07754684,1
n07705931,n07760859,1
n07705931,n07768694,1
n07739125,n07739506,1
n07739506,n07742313,1
n07742704,n07745940,1
n07747055,n07747607,1
n07747055,n07749582,1
n13135832,n11689483,1
n13135832,n12156819,1
n13135832,n12768682,1
n11689483,n11879895,1
n12156819,n12157056,1
n12157056,n12144580,1
n00021939,n03575240,1
n00021939,n04341686,1
n00021939,n03129123,1
n00021939,n04188643,1
n00021939,n03309808,1
n00021939,n03122748,1
n00021939,n03873064,1
n00021939,n03076708,1
n00021939,n03302121,1
n00021939,n03169390,1
n00021939,n03964744,1
n00021939,n00022903,1
n00021939,n04362025,1
n03575240,n03183080,1
n03575240,n03563967,1
n03575240,n03094503,1
n03575240,n03294048,1
n03575240,n04447443,1
n03575240,n03100490,1
n03575240,n03091374,1
n03575240,n03405265,1
n03575240,n04377057,1
n03183080,n03800933,1
n03183080,n02688443,1
n03183080,n02895606,1
n03183080,n03269401,1
n03183080,n03277771,1
n03183080,n03320046,1
n03183080,n03339643,1
n03183080,n03508101,1
n03183080,n03574816,1
n03183080,n03614007,1
n03183080,n03664675,1
n03183080,n03666591,1
n03183080,n03699975,1
n03183080,n03738472,1
n03183080,n03744840,1
n03183080,n03851341,1
n03183080,n03929660,1
n03183080,n04069276,1
n03183080,n04074963,1
n03183080,n04081844,1
n03183080,n04120093,1
n03183080,n04217718,1
n03183080,n04263760,1
n03183080,n04359589,1
n03183080,n04474466,1
n03800933,n03915437,1
n03800933,n04338517,1
n03800933,n04586932,1
n03915437,n03928116,1
n03915437,n03017168,1
n03915437,n03249569,1
n03915437,n03447721,1
n03915437,n03720891,1
n03915437,n03721384,1
n03915437,n04311174,1
n03928116,n03452741,1
n03928116,n04515003,1
n04338517,n02787622,1
n04338517,n02880546,1
n04338517,n03025886,1
n04338517,n03467517,1
n02880546,n02992211,1
n02880546,n04536866,1
n03025886,n03495258,1
n03467517,n02676566,1
n03467517,n03272010,1
n04586932,n03854065,1
n04586932,n02891788,1
n04586932,n03393324,1
n04586932,n03840681,1
n04586932,n03945615,1
n04586932,n04598582,1
n02891788,n03110669,1
n02891788,n03394916,1
n02891788,n04487394,1
n03393324,n02672831,1
n03393324,n03494278,1
n03945615,n03884397,1
n04598582,n02817799,1
n04598582,n03372029,1
n02817799,n03228016,1
n02817799,n04222847,1
n03228016,n02804610,1
n03228016,n03838899,1
n04222847,n04141076,1
n02688443,n04592741,1
n02895606,n03868863,1
n02895606,n04251144,1
n03269401,n04470953,1
n04470953,n03274561,1
n03274561,n03691459,1
n03274561,n03759954,1
n03277771,n03211117,1
n03277771,n03793489,1
n03211117,n04152593,1
n03320046,n03271574,1
n03339643,n03843555,1
n03339643,n04332243,1
n03508101,n04265275,1
n03508101,n04330267,1
n03574816,n03575691,1
n03574816,n03733925,1
n03574816,n03739693,1
n03574816,n03813176,1
n03574816,n03852280,1
n03574816,n04147495,1
n03574816,n04565375,1
n03575691,n03467068,1
n03733925,n02794156,1
n03733925,n03735637,1
n03733925,n03753077,1
n03733925,n04141975,1
n03733925,n04437953,1
n03735637,n04118776,1
n03753077,n03841143,1
n04437953,n04555897,1
n04437953,n03046257,1
n04437953,n04134632,1
n04437953,n04355338,1
n04437953,n04438304,1
n04555897,n03197337,1
n03046257,n02708093,1
n03046257,n03196217,1
n03046257,n04548280,1
n04134632,n03544143,1
n04438304,n03891332,1
n04438304,n04328186,1
n03739693,n04317175,1
n03739693,n04376876,1
n03813176,n03080497,1
n03080497,n03706229,1
n03852280,n02841315,1
n03852280,n04009552,1
n03852280,n04272054,1
n04272054,n04356056,1
n04147495,n03709206,1
n03709206,n03760671,1
n03709206,n04403638,1
n03760671,n03667829,1
n03667829,n03484931,1
n03484931,n03692522,1
n04403638,n02751295,1
n02751295,n04044716,1
n04565375,n03773504,1
n04565375,n02879718,1
n04565375,n03467984,1
n04565375,n04008634,1
n03467984,n02950826,1
n03467984,n03343853,1
n03343853,n02759963,1
n03343853,n03948459,1
n03343853,n04090263,1
n02759963,n02760429,1
n02760429,n02760855,1
n02760429,n03701391,1
n02760855,n02749479,1
n03948459,n04086273,1
n03614007,n03085013,1
n03614007,n04505470,1
n03664675,n03126707,1
n03699975,n03997484,1
n03699975,n02938886,1
n03699975,n02977058,1
n03699975,n03082979,1
n03699975,n03322940,1
n03699975,n04243941,1
n03997484,n03995372,1
n03997484,n03996145,1
n03996145,n03000684,1
