id1,id2,weight
Thing,CheeseyPizza,1
Thing,Country,1
Thing,DomainConcept,1
Thing,ValuePartition,1
Thing,InterestingPizza,1
Thing,MeatyPizza,1
Thing,NonVegetarianPizza,1
Thing,VegetarianPizza,1
Thing,RealItalianPizza,1
Thing,SpicyPizza,1
Thing,SpicyTopping,1
Thing,SpicyPizzaEquivalent,1
Thing,ThinAndCrispyPizza,1
Thing,VegetarianPizzaEquivalent1,1
Thing,VegetarianTopping,1
Thing,VegetarianPizzaEquivalent2,1
DomainConcept,Food,1
Food,Pizza,1
Food,PizzaBase,1
Food,PizzaTopping,1
Food,IceCream,1
Pizza,NamedPizza,1
Pizza,UnclosedPizza,1
NamedPizza,American,1
NamedPizza,AmericanHot,1
NamedPizza,Cajun,1
NamedPizza,Capricciosa,1
NamedPizza,Caprina,1
NamedPizza,Fiorentina,1
NamedPizza,FourSeasons,1
NamedPizza,FruttiDiMare,1
NamedPizza,Giardiniera,1
NamedPizza,LaReine,1
NamedPizza,Margherita,1
NamedPizza,Mushroom,1
NamedPizza,Napoletana,1
NamedPizza,Parmense,1
NamedPizza,PolloAdAstra,1
NamedPizza,PrinceCarlo,1
NamedPizza,QuattroFormaggi,1
NamedPizza,Rosa,1
NamedPizza,Siciliana,1
NamedPizza,SloppyGiuseppe,1
NamedPizza,Soho,1
NamedPizza,Veneziana,1
PizzaBase,DeepPanBase,1
PizzaBase,ThinAndCrispyBase,1
PizzaTopping,FishTopping,1
PizzaTopping,VegetableTopping,1
PizzaTopping,HerbSpiceTopping,1
PizzaTopping,CheeseTopping,1
PizzaTopping,MeatTopping,1
PizzaTopping,FruitTopping,1
PizzaTopping,NutTopping,1
PizzaTopping,SauceTopping,1
FishTopping,AnchoviesTopping,1
FishTopping,PrawnsTopping,1
FishTopping,MixedSeafoodTopping,1
VegetableTopping,TomatoTopping,1
VegetableTopping,ArtichokeTopping,1
VegetableTopping,AsparagusTopping,1
VegetableTopping,OnionTopping,1
VegetableTopping,CaperTopping,1
VegetableTopping,OliveTopping,1
VegetableTopping,CheeseyVegetableTopping,1
VegetableTopping,GarlicTopping,1
VegetableTopping,SpinachTopping,1
VegetableTopping,MushroomTopping,1
VegetableTopping,LeekTopping,1
VegetableTopping,PetitPoisTopping,1
VegetableTopping,PepperTopping,1
VegetableTopping,RocketTopping,1
TomatoTopping,SundriedTomatoTopping,1
TomatoTopping,SlicedTomatoTopping,1
OnionTopping,RedOnionTopping,1
PepperTopping,JalapenoPepperTopping,1
PepperTopping,PeperonataTopping,1
PepperTopping,GreenPepperTopping,1
PepperTopping,SweetPepperTopping,1
GreenPepperTopping,HotGreenPepperTopping,1
HerbSpiceTopping,CajunSpiceTopping,1
HerbSpiceTopping,RosemaryTopping,1
CheeseTopping,MozzarellaTopping,1
CheeseTopping,GoatsCheeseTopping,1
CheeseTopping,ParmesanTopping,1
CheeseTopping,FourCheesesTopping,1
CheeseTopping,GorgonzolaTopping,1
MeatTopping,PeperoniSausageTopping,1
MeatTopping,HamTopping,1
MeatTopping,ChickenTopping,1
MeatTopping,HotSpicedBeefTopping,1
HamTopping,ParmaHamTopping,1
FruitTopping,SultanaTopping,1
NutTopping,PineKernels,1
SauceTopping,TobascoPepperSauce,1
ValuePartition,Spiciness,1
Spiciness,Mild,1
Spiciness,Hot,1
Spiciness,Medium,1
